Seed    PlayerNr    Round   LoserHandCardCount  LoserHandValue  LoserFilledCardSpots    LoserCardSpotsValue
784 0   10  2   10  3   75
785 0   14  1   5   3   85
786 0   6   4   29  3   71
787 1   5   3   18  3   69
788 0   5   3   30  3   55
789 0   16  1   3   3   74
790 1   7   1   10  4   108
791 1   8   6   52  2   70
792 1   8   1   3   4   95
793 0   9   3   26  2   70
794 1   8   3   11  3   73
795 0   16  1   8   4   112
796 0   6   3   17  3   92
797 0   6   2   14  3   95
798 1   8   13  83  0   0
799 1   7   4   17  3   80
800 0   18  2   30  3   80
801 0   10  13  109 0   0
802 1   12  1   10  3   110
803 1   6   4   26  2   75
804 0   11  13  64  0   0
805 0   8   4   36  3   105
806 0   8   1   7   3   79
807 0   3   7   38  2   60
808 0   11  6   51  2   54
809 1   7   4   27  2   60
810 1   13  8   76  1   47
811 0   7   4   16  2   60
812 0   13  2   19  3   117
813 0   6   13  79  0   0
814 0   8   2   16  3   105
815 1   8   13  71  0   0
816 1   9   1   2   4   101
817 1   9   1   10  3   76
818 0   6   4   19  3   90
819 0   8   1   3   4   103
820 1   10  3   19  3   93
821 0   6   13  91  0   0
822 0   6   6   50  2   64
823 1   4   4   40  3   71
824 1   12  3   31  3   60
825 0   14  1   2   3   101
826 1   9   1   2   3   84
827 1   15  5   48  2   70
828 0   10  2   20  3   81
829 0   11  1   3   4   118
830 0   8   3   28  3   98
831 1   12  13  93  0   0
832 0   12  2   22  3   82
833 0   13  2   13  3   88
834 1   7   4   40  3   66
835 1   17  5   50  2   44
836 1   9   5   21  2   41
837 0   9   3   38  2   80
838 0   12  2   10  2   34
839 1   13  2   23  3   100
840 1   10  2   15  3   67
841 0   12  2   20  3   95
842 0   13  1   10  4   104
843 0   9   1   7   4   125
844 1   9   6   58  2   52
845 0   15  2   10  3   62
846 1   13  2   12  3   105
847 1   15  2   9   3   91
848 1   9   2   14  3   72
849 0   7   2   20  3   69
850 1   18  3   23  3   101
851 0   5   1   2   4   91
852 1   12  2   22  3   64
853 0   5   4   23  3   67
854 0   14  13  78  0   0
855 1   15  6   58  2   60
856 0   19  3   30  3   69
857 1   7   13  105 0   0
858 1   7   8   70  1   30
859 1   9   13  113 0   0
860 1   4   4   24  3   65
861 1   15  3   30  2   35
862 1   13  2   12  3   66
863 1   6   4   15  3   57
864 0   4   7   43  2   52
865 1   17  4   29  3   81
866 1   7   3   17  3   107
867 0   6   1   4   4   115
868 1   11  4   40  3   66
869 1   7   6   59  2   54
870 0   10  13  121 0   0
871 0   5   3   10  3   50
872 1   21  3   28  2   52
873 0   12  8   72  1   30
874 1   16  2   20  3   56
875 1   9   1   2   4   69
876 1   7   2   12  3   106
877 1   18  1   3   4   112
878 0   13  1   2   4   100
879 1   13  3   23  3   86
880 0   7   2   18  3   47
881 0   8   2   14  3   66
882 1   5   7   47  2   60
883 1   11  2   19  3   65
884 0   7   2   12  3   81
885 0   8   6   46  2   77
886 1   10  3   22  3   78
887 0   11  4   34  2   60
888 0   11  1   5   4   112
889 1   9   3   17  3   88
890 1   12  4   38  3   85
891 1   5   6   42  2   40
892 1   6   6   42  2   60
893 0   5   1   4   4   88
894 1   8   2   9   3   86
895 0   8   2   12  3   57
896 0   15  6   52  2   57
897 0   4   13  106 0   0
898 1   11  4   17  3   75
899 1   3   4   22  3   79
900 1   11  2   5   3   97
901 1   8   3   20  3   110
902 1   7   5   31  2   60
903 0   9   13  84  0   0
904 0   19  1   2   3   132
905 0   8   5   50  2   65
906 1   9   6   45  2   70
907 0   10  13  95  0   0
908 0   8   3   23  3   70
909 0   2   4   25  3   68
910 1   13  13  110 0   0
911 0   18  4   32  3   107
912 0   8   5   48  2   60
913 1   6   6   34  2   59
914 1   8   3   17  3   87
915 1   13  2   15  3   76
916 0   13  2   6   3   92
917 0   9   4   40  3   64
918 0   13  3   16  3   78
919 1   8   1   10  4   118
920 1   15  1   4   3   90
921 0   7   1   2   4   66
922 1   21  2   13  3   106
923 0   13  2   19  2   62
924 1   11  4   39  2   54
925 0   6   13  81  0   0
926 1   15  1   2   4   116
927 0   5   1   2   3   82
928 1   8   2   11  3   81
929 0   9   10  80  1   30
930 0   11  1   3   3   88
931 1   5   3   9   3   72
932 1   7   13  101 0   0
933 1   12  3   17  3   70
934 0   6   5   28  2   42
935 0   7   3   23  3   75
936 1   10  5   33  2   66
937 1   8   4   40  3   49
938 1   11  2   15  3   87
939 0   10  5   44  2   54
940 0   14  2   13  2   60
941 1   9   4   33  3   72
942 1   6   13  75  0   0
943 1   8   1   8   4   104
944 1   9   1   3   3   78
945 1   14  1   8   4   105
946 0   6   4   29  2   87
947 1   4   13  85  0   0
948 0   10  1   2   3   68
949 1   9   3   30  3   70
950 1   13  1   10  4   102
951 1   5   2   20  3   52
952 1   10  1   3   4   95
953 0   7   10  73  1   30
954 0   4   6   46  2   56
955 0   14  1   5   3   57
956 0   16  1   2   3   111
957 1   10  3   28  3   85
958 0   7   2   13  3   82
959 0   11  4   16  3   86
960 0   7   4   22  2   48
961 0   13  1   2   4   106
962 0   8   3   20  3   97
963 1   11  4   23  3   86
964 1   12  1   8   3   51
965 1   9   4   21  2   70
966 0   12  3   20  3   85
967 0   10  2   12  3   59
968 0   6   13  101 0   0
969 0   14  4   51  3   96
970 1   7   3   12  3   71
971 1   14  6   57  2   51
972 0   5   3   30  3   70
973 0   20  1   2   3   97
974 1   16  1   7   4   94
975 0   6   8   37  1   30
976 0   6   3   13  3   95
977 0   14  2   22  3   93
978 0   8   6   40  2   52
979 1   7   1   2   3   95
