Seed	PlayerNr	Round	LoserHandCardCount	LoserHandValue	LoserFilledCardSpots	LoserCardSpotsValue
2451	0	26	2	20	2	105
2452	0	14	4	40	2	52
2453	1	20	2	20	3	110
2454	1	10	3	11	3	94
2455	0	7	4	34	2	39
2456	1	10	3	22	3	73
2457	0	7	1	2	4	75
2458	0	7	4	31	3	78
2459	1	9	1	2	3	102
2460	1	8	6	55	2	55
2461	0	8	5	32	2	60
2462	1	10	2	15	3	87
2463	1	3	3	19	3	78
2464	1	7	2	6	3	64
2465	1	13	1	10	3	89
2466	0	12	2	16	3	100
2467	1	7	1	3	4	65
2468	0	8	13	111	0	0
2469	0	5	3	21	3	72
2470	0	16	2	10	3	96
2471	0	5	7	70	2	42
2472	1	5	5	45	2	51
2473	1	13	3	30	3	66
2474	0	8	13	103	0	0
2475	0	10	9	81	1	40
2476	0	13	6	44	2	67
2477	1	10	3	30	3	65
2478	1	13	3	14	3	92
2479	0	15	4	15	2	30
2480	0	14	1	4	3	110
2481	1	12	1	6	4	100
2482	0	15	1	3	3	146
2483	0	8	1	4	3	50
2484	1	7	6	50	2	59
2485	0	9	13	89	0	0
2486	1	15	2	20	3	90
2487	0	8	1	6	4	78
2488	0	14	13	105	0	0
2489	0	6	2	8	3	85
2490	0	18	3	40	3	88
2491	0	9	1	3	3	91
2492	0	9	3	30	3	78
2493	0	7	6	46	2	52
2494	1	11	3	29	3	74
2495	0	5	3	23	3	88
2496	0	10	1	5	3	80
2497	0	6	3	15	3	57
2498	0	5	4	15	3	85
2499	1	19	2	20	3	82
2500	0	10	2	8	3	82
2501	1	8	7	45	2	50
2502	0	7	13	108	0	0
2503	1	8	3	14	3	76
2504	1	10	4	38	2	80
2505	0	16	2	22	3	97
2506	1	6	7	41	2	55
2507	0	12	1	10	3	88
2508	0	16	2	8	3	110
2509	0	14	2	20	3	80
2510	0	8	6	41	1	40
2511	0	10	1	2	3	70
2512	0	9	5	42	2	33
2513	1	12	5	44	2	50
2514	1	11	3	13	3	80
2515	0	15	1	2	4	140
2516	1	7	2	20	3	46
2517	0	13	1	2	3	116
2518	1	10	3	22	3	81
2519	0	4	3	19	3	79
2520	1	17	1	6	3	123
